Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,Type (RC3),Vgsr (RC3)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,,(km/s)
UGC 12914,33.57,0.2,51.8,Sosies,2002A&A...393...57T,01:38.3,+23:29:01.1,108.4,-38,RS.R6*P,4545
WLM,25.1,0.15,1.05,Cepheids,1991PASP..103..933M,01:58.2,-15:27:39.3,75.9,-73.6,IBS9,-61
WLM,24.92,0.21,0.964,Cepheids,2004ApJ...608...42S,01:58.2,-15:27:39.3,75.9,-73.6,IBS9,-61
WLM,24.75,0.1,0.891,TRGB,1997AJ....114..147M,01:58.2,-15:27:39.3,75.9,-73.6,IBS9,-61
WLM,24.77,0.09,0.899,TRGB,2004ApJ...608...42S,01:58.2,-15:27:39.3,75.9,-73.6,IBS9,-61
WLM,24.85,0.08,0.932,TRGB,2005MNRAS.356..979M,01:58.2,-15:27:39.3,75.9,-73.6,IBS9,-61
WLM,25.88,...,1.5,Tully-Fisher,LEDA [April 2006],01:58.2,-15:27:39.3,75.9,-73.6,IBS9,-61
WLM,24.88,0.09,0.946,CMD,2000ApJ...531..804D,01:58.2,-15:27:39.3,75.9,-73.6,IBS9,-61
WLM,24.95,0.13,0.977,CMD,2000AJ....120..801R,01:58.2,-15:27:39.3,75.9,-73.6,IBS9,-61
NGC 7814,30.44,0.14,12.2,SBF,2003ApJ...583..712J,03:14.9,+16:08:43.5,106.4,-45.2,SAS2*/,1204
NGC 7814,30.6,0.14,13.2,SBF,2001ApJ...546..681T,03:14.9,+16:08:43.5,106.4,-45.2,SAS2*/,1204
NGC 7814,31.26,0.13,17.9,Sosies,2002A&A...393...57T,03:14.9,+16:08:43.5,106.4,-45.2,SAS2*/,1204
NGC 7814,32.7,...,34.7,Tully-Fisher,LEDA [April 2006],03:14.9,+16:08:43.5,106.4,-45.2,SAS2*/,1204
ESO 349- G 031,27.53,...,3.21,TRGB,2006AJ....131.1361K,08:13.4,-34:34:42.0,351.5,-78.1,IB.9,195
ESO 349 -G 031,28.06,...,4.1,Tully-Fisher,2003A&A...404...93K,08:13.4,-34:34:42.0,351.5,-78.1,IB.9,195
2dFGRS S839Z607,37.297*,0.04,271,SNIa,2006ApJ...647..501P,10:38.1,-49:56:51.7,319.1,-65.9,E1,17665
2dFGRS S839Z607,37.30*,0.22,272,SNIa,2004ApJ...607..665R,10:38.1,-49:56:51.7,319.1,-65.9,E1,17665
2dFGRS S839Z607,37.41,0.14,303,SNIa,2005ApJ...624..532R,10:38.1,-49:56:51.7,319.1,-65.9,E1,17665
NGC 0048,33.92,0.2,60.8,Sosies,2002A&A...393...57T,14:02.2,+48:14:05.5,116.5,-14.2,SX.4P*,1972
NGC 0045,30.13,0.35,10.6,Sosies,2002A&A...393...57T,14:03.9,-23:10:55.5,55.9,-80.7,SAS8,493
NGC 0045,29.51,...,7.98,Tully-Fisher,LEDA [April 2006],14:03.9,-23:10:55.5,55.9,-80.7,SAS8,493
UGC 00139,33.45*,0.05,48.4,SNIa,2006ApJ...647..501P,14:31.9,-00:44:15.2,102.9,-62.2,SXS5?,4052
UGC 00139,33.85,0.14,58.9,SNIa,2005ApJ...624..532R,14:31.9,-00:44:15.2,102.9,-62.2,SXS5?,4052
NGC 0055,26.5,...,2,TRGB,2005ApJ...622..279D,14:53.6,-39:11:47.9,332.9,-75.7,SBS9*/,94
NGC 0055,26.63,0.03,2.12,TRGB,2005AJ....129.1331S,14:53.6,-39:11:47.9,332.9,-75.7,SBS9*/,94
NGC 0055,24.91,...,0.96,Tully-Fisher,LEDA [April 2006],14:53.6,-39:11:47.9,332.9,-75.7,SBS9*/,94
NGC 0055,26.28,...,1.8,Tully-Fisher,2003A&A...404...93K,14:53.6,-39:11:47.9,332.9,-75.7,SBS9*/,94
NGC 0059,28.21,0.07,4.39,SBF,1998AJ....116.2873J,15:25.1,-21:26:39.8,65.7,-80,LAT-*,412
NGC 0059,28.62,...,5.3,SBF,2004AJ....127.2031K,15:25.1,-21:26:39.8,65.7,-80,LAT-*,412
NGC 0063,31.36,0.33,18.7,SBF,2001ApJ...546..681T,17:45.5,+11:27:01.2,109.9,-50.6,S...P,1303
MCG -01-02-001,33.35*,0.12,46.2,SNIa,2006ApJ...647..501P,20:01.5,-06:20:03.6,101.8,-67.9,SBS2P?,3792
IC 0010,24.1,0.19,0.66,Cepheids,1999ApJ...511..671S,20:17.3,+59:18:13.6,119,-3.3,IB.9,-146
IC 0010,24.4,...,0.76,Cepheids,2002AAS...201.2605Z,20:17.3,+59:18:13.6,119,-3.3,IB.9,-146
IC 0010,24.57,0.21,0.82,Cepheids,1996AJ....111.1106W,20:17.3,+59:18:13.6,119,-3.3,IB.9,-146
IC 0010,24.59,0.3,0.83,Cepheids,1996AJ....111..197S,20:17.3,+59:18:13.6,119,-3.3,IB.9,-146
IC 0010,23.51,0.19,0.5,TRGB,1999ApJ...511..671S,20:17.3,+59:18:13.6,119,-3.3,IB.9,-146
IC 0010,25.52,...,1.27,Tully-Fisher,LEDA [April 2006],20:17.3,+59:18:13.6,119,-3.3,IB.9,-146
IC 0010,24.69,...,0.87,BWC stars,1994AAS...185.7618M,20:17.3,+59:18:13.6,119,-3.3,IB.9,-146
MCG +01-02-004,35.3,...,115,SNII opt,1996ApJ...466..911E,22:49.7,+06:49:01.4,110.4,-55.4,Sbc,7576
NGC 0105,33.86*,0.06,58.2,SNIa,2006ApJ...647..501P,25:16.6,+12:53:22.0,113.1,-49.5,Sab:,5133
NGC 0105,34.04,0.3,64.3,SNIa,2005ApJ...624..532R,25:16.6,+12:53:22.0,113.1,-49.5,Sab:,5133
ESO 294- G 010,26.42,0.1,1.92,TRGB,2002A&A...389..812K,26:33.3,-41:51:19.1,320.4,-74.4,DE.5P*,72
ESO 294- G 010,26.17,0.08,1.71,SBF,1998AJ....116.2873J,26:33.3,-41:51:19.1,320.4,-74.4,DE.5P*,72
UGC 00288,29.14,0.39,6.73,BS,1997AstL...23..656G,29:03.6,+43:25:54.0,118.6,-19.3,S?,374
NGC 0147,24.15,0.09,0.675,TRGB,2005MNRAS.356..979M,33:12.1,+48:30:31.5,119.8,-14.3,E.5.P,28
NGC 0147,24.39,...,0.755,TRGB,1997AJ....113.1001H,33:12.1,+48:30:31.5,119.8,-14.3,E.5.P,28
NGC 0147,24.44,0.16,0.773,SBF,2001ApJ...546..681T,33:12.1,+48:30:31.5,119.8,-14.3,E.5.P,28
NGC 0147,24.05,...,0.646,FP,LEDA [April 2006],33:12.1,+48:30:31.5,119.8,-14.3,E.5.P,28
NGC 0147,23.92,...,0.608,RR Lyrae,1990AJ....100..108S,33:12.1,+48:30:31.5,119.8,-14.3,E.5.P,28
NGC 0150,31.51,...,20,SNII opt,1996ApJ...466..911E,34:15.5,-27:48:12.9,21.9,-86.1,SBT3*,1581
NGC 0157,32.32,0.19,29.1,Sosies,2002A&A...393...57T,34:46.8,-08:23:47.2,110.3,-70.9,SXT4,1734
NGC 0157,31.32,...,18.4,Tully-Fisher,LEDA [April 2006],34:46.8,-08:23:47.2,110.3,-70.9,SXT4,1734
NGC 0157,31.95,...,24.6,HII,2005JKAS...38....7I,34:46.8,-08:23:47.2,110.3,-70.9,SXT4,1734
And III,24.37,0.07,0.748,TRGB,2005MNRAS.356..979M,35:33.8,+36:29:52.0,119.4,-26.3,E?,-177
And III,24.38,0.06,0.751,RR Lyrae,2005AJ....129.2232P,35:33.8,+36:29:52.0,119.4,-26.3,E?,-177
And III,24.4,0.2,0.759,CMD,1993AJ....106..986A,35:33.8,+36:29:52.0,119.4,-26.3,E?,-177
And III,24.38,0.06,0.752,Horizontal Branch,2002AJ....124..332D,35:33.8,+36:29:52.0,119.4,-26.3,E?,-177
[P96] J003618.17+112334.7,35.82*,0.19,141,SNIa,2006ApJ...645..488W,36:18.2,+11:23:34.7,117,-51.3,SBc,10719
[P96] J003618.17+112334.7,35.837*,0.069,142,SNIa,2006A&A...447...31A,36:18.2,+11:23:34.7,117,-51.3,SBc,10719
[P96] J003618.17+112334.7,35.903*,0.038,146,SNIa,2006ApJ...647..501P,36:18.2,+11:23:34.7,117,-51.3,SBc,10719
[P96] J003618.17+112334.7,36.17*,0.19,165,SNIa,2004ApJ...607..665R,36:18.2,+11:23:34.7,117,-51.3,SBc,10719
[P96] J003618.17+112334.7,36.13,0.14,168,SNIa,2005ApJ...624..532R,36:18.2,+11:23:34.7,117,-51.3,SBc,10719
NGC 0185,23.95,0.09,0.616,TRGB,2005MNRAS.356..979M,38:57.9,+48:20:14.6,120.8,-14.5,E.3.P,-64
NGC 0185,23.96,0.21,0.62,TRGB,1993AJ....106..964L,38:57.9,+48:20:14.6,120.8,-14.5,E.3.P,-64
NGC 0185,24.3,...,0.724,PNLF,1989ApJ...339...53C,38:57.9,+48:20:14.6,120.8,-14.5,E.3.P,-64
NGC 0185,24.02,0.16,0.637,SBF,2001ApJ...546..681T,38:57.9,+48:20:14.6,120.8,-14.5,E.3.P,-64
NGC 0185,23.3,...,0.457,FP,LEDA [April 2006],38:57.9,+48:20:14.6,120.8,-14.5,E.3.P,-64
"M110; NGC 0205",24.58,0.07,0.824,TRGB,2005MNRAS.356..979M,40:22.1,+41:41:07.1,120.7,-21.1,E.5.P,-60
"M110; NGC 0205",24.6,0.3,0.83,TRGB,1996AJ....112.1438L,40:22.1,+41:41:07.1,120.7,-21.1,E.5.P,-60
"M110; NGC 0205",24.68,0.35,0.863,PNLF,1989ApJ...339...53C,40:22.1,+41:41:07.1,120.7,-21.1,E.5.P,-60
"M110; NGC 0205",22.91,...,0.382,FP,LEDA [April 2006],40:22.1,+41:41:07.1,120.7,-21.1,E.5.P,-60
"M110; NGC 0205",24.65,0.25,0.851,RR Lyrae,1992AJ....103...84S,40:22.1,+41:41:07.1,120.7,-21.1,E.5.P,-60
"M110; NGC 0205",24.55,...,0.813,PAGB stars,2001pao..conf...77B,40:22.1,+41:41:07.1,120.7,-21.1,E.5.P,-60
And IV,29,0.5,6.3,TRGB,2000AJ....120..821F,42:32.3,+40:34:18.7,121.1,-22.3,dw Irr,-196
"M32; NGC 0221",24.45,...,0.78,TRGB,1996AJ....112.1975G,42:41.8,+40:51:54.6,121.1,-22,CE.2,-28
"M32; NGC 0221",24.58,0.6,0.824,PNLF,1989ApJ...339...53C,42:41.8,+40:51:54.6,121.1,-22,CE.2,-28
"M32; NGC 0221",24.17,0.14,0.682,SBF,1998ApJ...505..111J,42:41.8,+40:51:54.6,121.1,-22,CE.2,-28
"M32; NGC 0221",24.39,0.08,0.755,SBF,2003ApJ...583..712J,42:41.8,+40:51:54.6,121.1,-22,CE.2,-28
"M32; NGC 0221",24.48,0.05,0.787,SBF,1998ApJ...505..111J,42:41.8,+40:51:54.6,121.1,-22,CE.2,-28
"M32; NGC 0221",24.51,0.09,0.798,SBF,1994ApJ...433..567P,42:41.8,+40:51:54.6,121.1,-22,CE.2,-28
"M32; NGC 0221",24.55,0.08,0.813,SBF,2001ApJ...546..681T,42:41.8,+40:51:54.6,121.1,-22,CE.2,-28
"M32; NGC 0221",24.47,0.05,0.875,SBF,1997AJ....114..626A,42:41.8,+40:51:54.6,121.1,-22,CE.2,-28
"M32; NGC 0221",25.6,...,1.32,Tully-Fisher,LEDA [April 2006],42:41.8,+40:51:54.6,121.1,-22,CE.2,-28
