#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2015-10-29T19:34:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5632742d860e	
#INFO	-out.max=unlimited	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJ/733/127&tab:{J/ApJ/733/127/table2}&key:source=J/ApJ/733/127&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/ApJ/733/127/table2
#-order=I
#-out=BJD
#-out=RFlux
#-out=e_RFlux
#

#RESOURCE=yCat_17330127
#Name: J/ApJ/733/127
#Title: Four transits of WASP-4b (Sanchis-Ojeda+, 2011)
#Table	J_ApJ_733_127_table2:
#Name: J/ApJ/733/127/table2
#Title: Photometry of WASP-4 \vizContent{timeSerie}(\wGraph{J/ApJ/733/127/./table2}{P=1.338231}{Transit Curve})
#Column	BJD	(F14.6)	Barycentric Julian Date (1)	[ucd=time.epoch]
#Column	RFlux	(F8.5)	Relative flux	[ucd=phot.flux;arith.ratio]
#Column	e_RFlux	(F8.5)	Uncertainty in RFlux	[ucd=stat.error]
BJD;RFlux;e_RFlux
d; ;
--------------;--------;--------
2454697.710091; 1.00020; 0.00067
2454697.710564; 1.00047; 0.00067
2454697.711039; 0.99977; 0.00067
2454697.711514; 1.00000; 0.00067
2454697.711988; 0.99951; 0.00067
2454697.712463; 1.00059; 0.00067
2454697.712939; 1.00081; 0.00067
2454697.713412; 1.00047; 0.00067
2454697.713886; 1.00060; 0.00067
2454697.714361; 1.00014; 0.00067
2454697.714837; 1.00021; 0.00067
2454697.715310; 0.99944; 0.00067
2454697.715784; 0.99996; 0.00067
2454697.716259; 1.00066; 0.00067
2454697.716733; 1.00073; 0.00067
2454697.717208; 1.00074; 0.00067
2454697.717683; 1.00075; 0.00067
2454697.718158; 1.00039; 0.00067
2454697.718632; 0.99998; 0.00067
2454697.719106; 0.99973; 0.00067
2454697.719581; 0.99963; 0.00067
2454697.725380; 0.99986; 0.00067
2454697.725854; 1.00018; 0.00067
2454697.726329; 0.99932; 0.00067
2454697.726803; 1.00060; 0.00067
2454697.727279; 1.00013; 0.00067
2454697.727752; 0.99897; 0.00067
2454697.728227; 0.99953; 0.00067
2454697.728701; 0.99938; 0.00067
2454697.729176; 0.99971; 0.00067
2454697.729650; 0.99953; 0.00067
2454697.730125; 0.99914; 0.00067
2454697.730599; 1.00142; 0.00067
2454697.731074; 1.00056; 0.00067
2454697.731549; 0.99975; 0.00067
2454697.732024; 0.99947; 0.00067
2454697.732499; 0.99931; 0.00067
2454697.732972; 0.99977; 0.00067
2454697.733447; 0.99930; 0.00067
2454697.733922; 0.99979; 0.00067
2454697.734397; 1.00088; 0.00067
2454697.734870; 1.00024; 0.00067
2454697.735345; 1.00118; 0.00067
2454697.735819; 0.99960; 0.00067
2454697.736294; 1.00059; 0.00067
2454697.736769; 0.99967; 0.00067
2454697.737243; 1.00077; 0.00067
2454697.737717; 1.00087; 0.00067
2454697.738192; 0.99985; 0.00067
2454697.738668; 0.99991; 0.00067
2454697.739142; 1.00047; 0.00067
2454697.739616; 0.99981; 0.00067
2454697.740090; 0.99909; 0.00067
2454697.740566; 0.99933; 0.00067
2454697.741039; 1.00076; 0.00067
2454697.741514; 1.00041; 0.00067
2454697.741988; 0.99984; 0.00067
2454697.742463; 0.99958; 0.00067
2454697.742938; 1.00003; 0.00067
